,UID,Name,Description,Owner,Owner UID,Publication Stage,Audience,Approval Status,Provenance,Type,Category,Tags,url,API Endpoint,Creation Date (UTC),Last Metadata Updated Date (UTC),Last Data Updated Date (UTC),Domain,Derived View,Visits,Downloads,Row Label,Row Count,Column Count,Contact Email,License,Attribution,Attribution Link,Published Version Name,Published Version UID,Parent UID,Common Core: Is Quality Data,Common Core: Publisher,Common Core: Contact Name,Common Core: Language,Common Core: Contact Email,Common Core: Public Access Level,Common Core: Bureau Code,Common Core: Update Frequency,Common Core: Program Code,Common Core: Last Update,HHS Internal: Internal Contact Name,HHS Internal: Internal Contact Email,Common Core: Geographic Coverage,Archive: Archive Repository,Common Core: License,Common Core: Issued,Common Core: References,Common Core: Homepage,Common Core: Unique Identifier,HHS Internal: Internal Contact Phone,Dataset Information: Author,Common Core: Theme,Additional Info: Agency Program URL,Dataset Information: Granularity,Harvest Source: Is Harvested Data,Common Core: Temporal Applicability,Common Core: System of Records,Additional Info: Collection Instrument,Dataset Information: Spatial / Geographical Coverage Location,Additional Info: Migration Notes JSON,Common Core: Described By,Additional Info: Unit of Analysis,Harvest Source: Harvest Source URI,Additional Info: Date Released,Harvest Source: Last Harvest Performed,Common Core: Access Level Comment,Additional Info: hd2 workflow id,Harvest Source: Harvest Source Title,Additional Info: Technical Documentation,Additional Info: Group Name,Additional Info: Date Updated,Additional Info: License Agreement Required,Common Core: Primary IT Investment UII,Common Core: Collection,Common Core: Original File Name,Common Core: Public Access Code
0,jfzf-ft62,HAICViz - MuGSI,"<p>The healthcare-associated infection component of CDC’s <a href=""https://www.cdc.gov/ncezid/dpei/eip/index.html"" target=""_blank"">EIP</a> engages a <a href=""https://www.cdc.gov/ncezid/dpei/eip/eip-sites.html"" target=""_blank"">network</a> of state health departments and their academic medical center partners to help answer critical questions about emerging HAI threats, advanced infection tracking methods, and antibiotic resistance in the United States. Information gathered through this activity will play a key role in shaping future policies and recommendations targeting HAI prevention. </p>",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,href,,"antimicrobial resistance,carbapenem-resistant acinetobacter baumannii,carbapenem-resistant enterobacterales,enterobacter spp.,escherichia coli,haicviz,healthcare-associated infection,klebsiella spp.,surveillance",https://healthdata.gov/d/jfzf-ft62,,6/25/2021 3:02,7/26/2023 1:53,6/25/2021 3:02,healthdata.gov,False,103,0,,,,,,data.cdc.gov,,,,,,Centers for Disease Control and Prevention,HAIC,,erib@cdc.gov,public,009:20,,009:020,6/1/2023,,,,https://healthdata.gov/d/ias6-ez9q,http://opendefinition.org/licenses/odc-odbl/,6/24/2021,,https://data.cdc.gov/d/v4tm-h8pe,https://data.cdc.gov/api/views/v4tm-h8pe,,,Public Health Surveillance,,,Yes,,,,,,,,https://data.cdc.gov/data.json,,2023-06-02T04:00:14.332366Z,,,data.cdc.gov,,,,,,,,
1,b4un-74g8,HHS Data Governance Board Membership - w3i2-jayx - Archive Repository,"This dataset tracks the updates made on the dataset ""HHS Data Governance Board Membership"" as a repository for previous versions of the data and metadata.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,dataset,,,https://healthdata.gov/d/b4un-74g8,https://healthdata.gov/resource/b4un-74g8.json,2/24/2021 20:06,2/24/2021 20:06,9/19/2023 19:30,healthdata.gov,False,126,21,,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,f62f-sdmv,Drug Interaction API - 5pe7-4rei - Archive Repository,"This dataset tracks the updates made on the dataset ""Drug Interaction API"" as a repository for previous versions of the data and metadata.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,dataset,,,https://healthdata.gov/d/f62f-sdmv,https://healthdata.gov/resource/f62f-sdmv.json,3/31/2021 4:02,3/31/2021 4:02,7/25/2023 21:25,healthdata.gov,False,195,531,,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,qsiz-3mtk,NCHS Research and Development Survey (RANDS) Round 5 Restricted File,"The Research and Development Survey (RANDS) is a series of cross-sectional surveys using probability-sampled commercial survey panels. The fifth round of RANDS (RANDS 5) was administered by NORC at the University of Chicago using the AmeriSpeak Panel from January 1, 2022 to March 9, 2022. RANDS 5 contained the embedded probe questions and experiments as in previous rounds of RANDS. It also examined responses to gender identity questions as well as different survey administrations of questions appearing in CDC’s National Intimate Partner and Sexual Violence Survey (NISVS). RANDS 5 has a known survey sampling design and can be used to produce nationally and sub-nationally representative estimates.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,href,,"gender identity,intimate partner violence,physical violence,research-data-center,sexual identity,sexual violence,stalking",https://healthdata.gov/d/qsiz-3mtk,,2/23/2023 4:00,7/26/2023 1:31,2/23/2023 4:00,healthdata.gov,False,40,0,,,,,,data.cdc.gov,,,,,,Centers for Disease Control and Prevention,National Center for Health Statistics,,cdcinfo@cdc.gov,restricted public,009:20,,009:020,4/20/2023,,,50 states and District of Columbia,https://healthdata.gov/d/3fud-byed,http://opendefinition.org/licenses/odc-odbl/,2/22/2023,,https://data.cdc.gov/d/airz-k28h,https://data.cdc.gov/api/views/airz-k28h,,,NCHS,,,Yes,2022,,,,,https://www.cdc.gov/nchs/rands/files/RANDS5-technical-documentation.pdf,,https://data.cdc.gov/data.json,,2023-04-21T04:00:34.542491Z,"This dataset is restricted to authorized researchers due to indirect identifying sensitive information.  Researchers must apply for data access through a proposal process, take confidentiality training and sign a data use agreement.  If approved, data access would occur at a NCHS or Federal Statistical Research Data Center.  For more information about submitting a proposal for data access, please see: https://www.cdc.gov/rdc/leftbrch/presubmit.htm",,data.cdc.gov,,,,,,,,
4,h5cf-3jy5,"NNDSS - TABLE 1AA.  Poliovirus infection, nonparalytic to Psittacosis - p35v-5t6y - Archive Repository","This dataset tracks the updates made on the dataset ""NNDSS - TABLE 1AA.  Poliovirus infection, nonparalytic to Psittacosis"" as a repository for previous versions of the data and metadata.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,dataset,,,https://healthdata.gov/d/h5cf-3jy5,https://healthdata.gov/resource/h5cf-3jy5.json,2/25/2021 16:53,2/25/2021 16:53,7/26/2023 13:23,healthdata.gov,False,7,4,,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pss5-w5h5,Blog | Access To CMS Medicare Beneficiary Data Enables DocGraph and CareSet Systems to Bring Insight to Healthcare Delivery Approaches,"This blog post was posted on May 6, 2016.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,story,Blog,"blog,cms,delivery systems,health care,health care providers,health data,hospital referral,medicaid,medicare",https://healthdata.gov/stories/s/pss5-w5h5,,2/15/2021 15:29,3/23/2021 16:50,3/13/2021 1:12,healthdata.gov,False,1629,0,,,,,,,,,,,,HHS Office of the Chief Data Officer,HHS Office of the Chief Data Officer,,healthdata@hhs.gov,public,009:00,,009:110,5/6/2016,,,,,,5/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,u398-4pfh,"AH Provisional COVID-19 Deaths by HHS Region, Race, Age 65plus","Deaths involving coronavirus disease 2019 (COVID-19) reported to NCHS by time-period, HHS region, race and Hispanic origin, and age groups (<65, 65-74. 75-84, 85+, and 65+).

United States death counts include the 50 states, plus the District of Columbia and New York City. The ten (10) United States Department of Health and Human Services (HHS) regions include the following jurisdictions. Region 1: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont; Region 2: New Jersey, New York, New York City; Region 3: Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia; Region 4: Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee; Region 5: Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin; Region 6: Arkansas, Louisiana, New Mexico, Oklahoma, Texas; Region 7: Iowa, Kansas, Missouri, Nebraska; Region 8: Colorado, Montana, North Dakota, South Dakota, Utah, Wyoming; Region 9: Arizona, California, Hawaii, Nevada; Region 10: Alaska, Idaho, Oregon, Washington.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,href,,"age,age group,all causes,children,coronavirus,covid-19,deaths,hhs region,hispanic origin,mortality,nchs,nvss,provisional,puerto rico,race,united states,weekly",https://healthdata.gov/d/u398-4pfh,,9/10/2022 4:00,7/25/2023 17:54,9/10/2022 4:00,healthdata.gov,False,57,0,,,,,,data.cdc.gov,,,,,,Centers for Disease Control and Prevention,National Center for Health Statistics,,cdcinfo@cdc.gov,public,009:20,irregular,009:020,12/16/2022,,,United States,https://healthdata.gov/d/ydji-ifr4,https://www.usa.gov/government-works,9/9/2022,,https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,https://data.cdc.gov/api/views/9xc7-3a4q,,,NCHS,,,Yes,2020-01-01/2022-09-03,,,,,,,https://data.cdc.gov/data.json,,2022-12-17T04:00:12.114559Z,,,data.cdc.gov,,,,,,,,
7,84pb-r9vp,Genetic Relationship and Fingerprinting (GRAF),"Genetic Relationship and Fingerprinting (GRAF) is a rapid statistical method to detect duplicates and closely related samples in large genomic datasets to be used as a quality assurance tool in dbGaP data processing.  For more information, see this abstract in PubMed. 
https://www.ncbi.nlm.nih.gov/pubmed/28609482",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,href,,"computational biology,genomics,software,tools & utilities",https://healthdata.gov/d/84pb-r9vp,,7/2/2021 3:01,7/26/2023 1:13,7/2/2021 3:01,healthdata.gov,False,80,0,,,,,,datadiscovery.nlm.nih.gov,,,,,,National Library of Medicine,National Library of Medicine,,custserv@nlm.nih.gov,public,009:25,,009:041,9/30/2022,,,,https://healthdata.gov/d/qstq-h8xm,http://opendefinition.org/licenses/odc-odbl/,6/30/2021,,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/Software.cgi,https://datadiscovery.nlm.nih.gov/api/views/a7mv-2ucw,,,Molecular biology/Genetics,,,Yes,,,,,,,,https://datadiscovery.nlm.nih.gov/data.json,,2022-10-01T04:01:28.498475Z,,,datadiscovery.nlm.nih.gov,,,,,,,,
8,w3kn-e4y7,Professional Medical Conduct Board Actions: Beginning 1990,"The Professional Medical Conduct Board Actions data consist of all public actions taken against physicians, physician assistants, specialist assistants, and medical professional corporations pursuant to Section 230 of the New York State Public Health Law and Section 6530 of the New York State Education Law.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,href,State,"board actions,consumer resources,doctor,integrity,medical,misconduct,opmc,physician,professional,quality-safety-costs,sanctioned,specialist",https://healthdata.gov/d/w3kn-e4y7,,2/25/2021 6:33,4/6/2024 4:01,2/25/2021 6:33,healthdata.gov,False,121,0,,,,,,health.data.ny.gov,,,,,,State of New York,Open Data NY - DOH,,no-reply@health.data.ny.gov,public,,,,4/5/2024,,,,https://healthdata.gov/d/immn-m83e,http://opendefinition.org/licenses/odc-odbl/,4/1/2019,,https://health.data.ny.gov/d/ebmi-8ctw,https://health.data.ny.gov/api/views/ebmi-8ctw,,,Health,,,Yes,,,,,,,,https://health.data.ny.gov/data.json,,2024-04-06T04:01:14.166929Z,,,health.data.ny.gov,,,,,,,,
9,jaik-emht,NCHS - Percent Distribution of Births for Females by Age Group: United States,"This dataset includes percent distribution of births for females by age group in the United States since 1933.

The number of states in the reporting area differ historically. In 1915 (when the birth registration area was established), 10 states and the District of Columbia reported births; by 1933, 48 states and the District of Columbia were reporting births, with the last two states, Alaska and Hawaii, added to the registration area in 1959 and 1960, when these regions gained statehood. Reporting area information is detailed in references 1 and 2 below. Trend lines for 1909–1958 are based on live births adjusted for under-registration; beginning with 1959, trend lines are based on registered live births.",HHS Office of the Chief Data Officer,taan-vh9z,published,public,approved,official,href,,"births,maternal age,nchs,united states",https://healthdata.gov/d/jaik-emht,,2/25/2021 5:23,7/26/2023 1:52,2/25/2021 5:23,healthdata.gov,False,118,0,,,,,,data.cdc.gov,,,,,,Centers for Disease Control and Prevention,National Center for Health Statistics,English,births@cdc.gov,public,009:20,,009:020,3/29/2022,,,50 states and District of Columbia,https://healthdata.gov/d/d2pg-4s4d,https://www.usa.gov/government-works,12/2/2015,"https://www.cdc.gov/nchs/data/vsus/vsus_1950_1.pdf, https://www.cdc.gov/nchs/data/misc/usvss.pdf, https://www.cdc.gov/nchs/data/vsus/nat67_1.pdf, https://www.cdc.gov/nchs/data/nvsr/nvsr66/nvsr66_01.pdf, https://www.cdc.gov/nvsr/nvsr67/nvsr67_01.pdf, https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_13.pdf",https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm,https://data.cdc.gov/api/views/isx2-c2ii,,,NCHS,,,Yes,1933/2018,,,,,https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm,,https://data.cdc.gov/data.json,,2022-03-30T04:00:11.555575Z,public,,data.cdc.gov,,,,,,NCHS - Percent Distribution of Births for Females by Age Group: United States,,
